รายงานสรุปผลการประเมินความพึงพอใจฐานกิจกรรมอบรม
วันที่ออกรายงาน,16/9/2569 09:51:27
ยอดผู้เข้าร่วมกดคะแนนทั้งหมด,113 คน

อันดับ,รหัสฐาน,ชื่อฐานกิจกรรม,ชื่อแผนก,จำนวนคะแนนที่ได้ (ไลค์),ร้อยละ (%)
"1","ฐาน C","การใช้งานตะกร้า","PUR+PN+WH+DL+ST","28","24.78%"
"2","ฐาน E","กฎระเบียบในการทำงาน","HR","26","23.01%"
"3","ฐาน A","อันตรายทางด้านอาหาร","PD + QA Process","22","19.47%"
"4","ฐาน F","สุขลักษณะส่วนบุคคล","QA Sanitation","17","15.04%"
"5","ฐาน B","ความปลอดภัยในการทำงาน","Safety+EN","10","8.85%"
"6","ฐาน D","มาตรฐานสินค้า","RD","10","8.85%"


ประวัติการบันทึกคะแนนทั้งหมด (Audit Log)
ลำดับ,ฐานกิจกรรมที่ได้รับไลค์,วันและเวลาที่บันทึก
"1","ฐาน F: สุขลักษณะส่วนบุคคล (QA Sanitation)","16/9/2569 09:51:18"
"2","ฐาน F: สุขลักษณะส่วนบุคคล (QA Sanitation)","16/9/2569 09:51:14"
"3","ฐาน F: สุขลักษณะส่วนบุคคล (QA Sanitation)","16/9/2569 09:51:11"
"4","ฐาน F: สุขลักษณะส่วนบุคคล (QA Sanitation)","16/9/2569 09:51:07"
"5","ฐาน F: สุขลักษณะส่วนบุคคล (QA Sanitation)","16/9/2569 09:51:04"
"6","ฐาน F: สุขลักษณะส่วนบุคคล (QA Sanitation)","16/9/2569 09:51:00"
"7","ฐาน F: สุขลักษณะส่วนบุคคล (QA Sanitation)","16/9/2569 09:50:57"
"8","ฐาน F: สุขลักษณะส่วนบุคคล (QA Sanitation)","16/9/2569 09:50:53"
"9","ฐาน E: กฎระเบียบในการทำงาน (HR)","16/9/2569 09:50:49"
"10","ฐาน E: กฎระเบียบในการทำงาน (HR)","16/9/2569 09:50:46"
"11","ฐาน E: กฎระเบียบในการทำงาน (HR)","16/9/2569 09:50:42"
"12","ฐาน E: กฎระเบียบในการทำงาน (HR)","16/9/2569 09:50:39"
"13","ฐาน E: กฎระเบียบในการทำงาน (HR)","16/9/2569 09:50:35"
"14","ฐาน E: กฎระเบียบในการทำงาน (HR)","16/9/2569 09:50:32"
"15","ฐาน E: กฎระเบียบในการทำงาน (HR)","16/9/2569 09:50:29"
"16","ฐาน D: มาตรฐานสินค้า (RD)","16/9/2569 09:50:24"
"17","ฐาน D: มาตรฐานสินค้า (RD)","16/9/2569 09:50:21"
"18","ฐาน D: มาตรฐานสินค้า (RD)","16/9/2569 09:50:17"
"19","ฐาน D: มาตรฐานสินค้า (RD)","16/9/2569 09:50:14"
"20","ฐาน C: การใช้งานตะกร้า (PUR+PN+WH+DL+ST)","16/9/2569 09:50:08"
"21","ฐาน C: การใช้งานตะกร้า (PUR+PN+WH+DL+ST)","16/9/2569 09:50:04"
"22","ฐาน C: การใช้งานตะกร้า (PUR+PN+WH+DL+ST)","16/9/2569 09:50:01"
"23","ฐาน C: การใช้งานตะกร้า (PUR+PN+WH+DL+ST)","16/9/2569 09:49:57"
"24","ฐาน C: การใช้งานตะกร้า (PUR+PN+WH+DL+ST)","16/9/2569 09:49:54"
"25","ฐาน B: ความปลอดภัยในการทำงาน (Safety+EN)","16/9/2569 09:49:44"
